,cd8,XCR1,CLEC10A,BDCA2,PHOC2,BDCLAMP,AF
cd8,-0.28331712670757486,2.0527067227511266,2.0987208788785776,1.8532684448809065,2.2262373522208523,-4.010397904787511,2.253532344693768
XCR1,2.0527067227511266,3.233629363003041,3.2356202715850384,3.1563236199993145,3.5423002606001437,-6.448744234576648,3.3336766380074856
CLEC10A,2.0987208788785776,3.2356202715850384,3.325724798242289,3.156080042759638,3.5401416403942765,-6.242013378349405,3.3343653510308306
BDCA2,1.8532684448809065,3.1563236199993145,3.156080042759638,2.4556463532793353,3.15557709275589,-5.921709138522193,3.1530390990174304
PHOC2,2.2262373522208523,3.5423002606001437,3.5401416403942765,3.15557709275589,2.7552348559984567,-6.98527053216896,2.895520644973096
BDCLAMP,-4.010397904787511,-6.448744234576648,-6.242013378349405,-5.921709138522193,-6.98527053216896,13.277017233887893,-6.151877442670508
AF,2.253532344693768,3.3336766380074856,3.3343653510308306,3.1530390990174304,2.895520644973096,-6.151877442670508,3.766283344638794
